productId	profileName	helpfulness	score	time
B003AI2VGA	"Brian E. Erland ""Rainbow Sphinx"""	7/7	3.0	6:24:2007
B003AI2VGA	Grady Harp	4/4	3.0	6:15:2007
B003AI2VGA	"Chrissy K. McVay ""Writer"""	8/10	5.0	11:29:2006
B003AI2VGA	golgotha.gov	1/1	3.0	12:8:2007
B003AI2VGA	"KerrLines ""&#34;Movies,Music,Theatre&#34;"""	1/1	3.0	8:28:2007
B003AI2VGA	"abra ""a devoted reader"""	0/0	2.0	12:11:2008
B003AI2VGA	Charles R. Williams	3/11	1.0	11:21:2006
B00006HAXW	Anthony Accordino	64/65	5.0	8:9:2003
B00006HAXW	Joseph P. Aiello	26/26	5.0	12:30:2002
B00006HAXW	"""bruce_from_la"""	24/24	5.0	8:17:2003
B00006HAXW	Henrique Peirano	22/23	4.0	12:10:2002
B00006HAXW	Richard Albero	14/14	5.0	2:17:2003
B00006HAXW	Les	9/9	5.0	9:7:2003
B00006HAXW	Joseph M. Kotow	9/9	5.0	1:13:2003
B00006HAXW	"""fellafromnyc"""	7/7	4.0	4:8:2003
B00006HAXW	S. Dorman	7/7	5.0	3:17:2003
B00006HAXW	RFP	7/7	5.0	12:1:2002
B00006HAXW	C. Thomas	4/4	5.0	4:28:2007
B00006HAXW	Michael A. Martin	3/3	5.0	1:11:2008
B00006HAXW	"C. W. Emblom ""Bill Emblom"""	5/6	5.0	4:21:2004
B00004CQT3	steven conklin	18/19	5.0	11:28:2003
B00004CQT3	Godly Gadfly	14/15	5.0	8:13:2004
B00004CQT3	K. Kangley	10/11	5.0	7:29:2000
B00004CQT3	"Jerry Loveless ""jerryl3515"""	7/7	5.0	5:6:2006
B00004CQT3	"Frank J. Pickens ""Blade"""	4/4	5.0	7:30:2006
B00004CQT3	Michael	1/1	5.0	7:28:2009
B00004CQT3	"Gary E. Hogan ""GEH"""	1/1	5.0	5:21:2007
B00004CQT3	B. E Jackson	0/0	3.0	12:4:2011
B00004CQT3	Jack	0/0	5.0	8:30:2011
B00004CQT3	Ranny Levy	0/0	4.0	7:31:2011
B00004CQT3	LuAnn Perkins	0/0	5.0	3:29:2011
B00004CQT3	ZombiBoi	0/0	5.0	2:28:2011
B00004CQT3	J. L. Noble	0/0	5.0	4:25:2010
B00004CQT3	D. R. Smith	0/0	5.0	4:4:2010
B00004CQT3	ER	0/0	5.0	3:9:2010
B00004CQT3	Shannon M. Naramore	0/0	5.0	1:29:2010
B00004CQT3	"Hank ""Hank"""	0/0	5.0	12:30:2009
B00004CQT3	Dario R Opistan	0/0	5.0	6:24:2009
B00004CQT3	TieDi	0/0	5.0	10:2:2008
B00004CQT3	Mark Baker	0/0	3.0	9:30:2008
B00004CQT3	Rob Hobbs	3/5	4.0	10:7:2002
B00004CQT3	"Vicki D. Syrett ""grandma-vicki"""	3/5	5.0	8:8:2001
B00004CQT3	"David L Hutchins ""Music Lover"""	2/6	3.0	1:10:2007
B00004CQT3	Elizabeth LaRosa	1/5	1.0	12:31:2009
B00004CQT4	Michele Adams	0/0	5.0	9:5:2009
B00004CQT4	Der girl	0/0	4.0	4:12:2009
B00004CQT4	"Mark A. Jones ""Don't worry, be happy!"""	0/0	4.0	5:27:2006
B00004CQT4	Kindra	0/0	5.0	1:30:2002
B00004CQT4	"*** ""AC1962"""	0/1	4.0	9:28:2005
B006JIUN2W	Manoj Sharma	1/1	5.0	4:24:2012
B0078V2LCY	"K. Harris ""Film aficionado"""	1/1	3.0	1:30:2012
B0078V2LCY	David W. Deyerle	0/0	4.0	8:12:2012
B003ZG3GAM	J. Marszalek	0/0	5.0	12:19:2010
B004BH1TN0	"Martin A Hogan ""Marty From SF"""	34/35	5.0	1:25:2002
B004BH1TN0	Rona	2/2	5.0	1:27:2003
B004BH1TN0	"A customer ""mistermaxxx"""	2/2	4.0	10:4:2002
B004BH1TN0	"""utawwsexy"""	2/2	5.0	8:24:2002
B004BH1TN0	Antonio Maisonet	0/0	3.0	2:3:2010
B004BH1TN0	Irving Faqua	0/0	4.0	6:28:2009
B004BH1TN0	"S. Lomax ""Shawna67"""	0/0	5.0	6:1:2009
B004BH1TN0	"M. Chung ""music lover"""	0/0	4.0	1:14:2007
B004BH1TN0	Country Woman	0/0	5.0	4:24:2003
B0071AD95K	fjiewofjeiwo	5/5	5.0	8:31:2010
B0071AD95K	J. A. Handford	4/4	5.0	1:15:2011
B0071AD95K	Ryan's mom	3/3	5.0	10:31:2010
B0071AD95K	Stephen	1/1	5.0	10:15:2010
B0071AD95K	"J. Kennel ""marriagefanatic"""	1/1	5.0	5:24:2010
B0071AD95K	Flower	4/6	5.0	2:28:2010
B0071AD95K	Darryl M. Cue	0/0	5.0	8:31:2012
B0071AD95K	Stranger in the land	0/0	4.0	12:4:2011
B0071AD95K	"Eric Lessner ""Eric0118"""	0/0	5.0	6:12:2010
B000063W1R	"Terrie ""seamstress"""	1/1	5.0	9:18:2012
B000063W1R	LBurkett	1/1	5.0	9:18:2012
B000063W1R	"Brandy51 ""Brandy"""	1/1	5.0	9:16:2012
B000063W1R	Mimi	1/1	5.0	8:12:2012
B000063W1R	Holly N.	1/1	4.0	3:14:2012
B000063W1R	ECastle	1/1	5.0	3:11:2012
B000063W1R	"Mark E. Baxter ""Inquirer"""	1/1	5.0	11:2:2011
B000063W1R	PINKPEARL	1/1	5.0	3:14:2011
B000063W1R	Viva	1/1	4.0	10:25:2010
B000063W1R	"Arturo Bustamante ""Art"""	1/1	5.0	5:30:2010
B000063W1R	M. Pruitt	1/1	5.0	8:3:2009
B000063W1R	susumu-5	1/1	3.0	6:13:2009
B000063W1R	James D'arcy Pacita D'arcy	1/1	5.0	3:17:2009
B000063W1R	S. AIKEN	1/1	4.0	3:10:2009
B000063W1R	Casey 